--------------------- VAGUES D ITERATIONS 1 MAP CARRE ---------------------
 ENVIRON 200 ?

Robin : 300 nb closed nodes = 120
Tim : 300 nb closed nodes = 120
Tibi : 301 nb closed nodes = 120
Robin : 300 nb closed nodes = 120
Elsa : 300 nb closed nodes = 120
Tim : 301 nb closed nodes = 120
Tibi : 302 nb closed nodes = 120
Tim : 300 nb closed nodes = 120
Robin : 302 nb closed nodes = 120
Elsa : 301 nb closed nodes = 120
Robin : 301 nb closed nodes = 120
Tibi : 301 nb closed nodes = 120
Elsa : 301 nb closed nodes = 120
Tim : 300 nb closed nodes = 120
Tim : 300 nb closed nodes = 120
Tibi : 300 nb closed nodes = 120
Robin : 300 nb closed nodes = 120
Elsa : 302 nb closed nodes = 120
Elsa : 300 nb closed nodes = 120
Robin : 302 nb closed nodes = 120
Tibi : 301 nb closed nodes = 120
Tim : 300 nb closed nodes = 120
Tibi : 300 nb closed nodes = 120
Robin : 300 nb closed nodes = 120
Elsa : 302 nb closed nodes = 120
Tim : 300 nb closed nodes = 120
Elsa : 301 nb closed nodes = 120
Robin : 300 nb closed nodes = 120
Tim : 300 nb closed nodes = 120
Tibi : 301 nb closed nodes = 120
Tibi : 300 nb closed nodes = 120
Robin : 302 nb closed nodes = 120
Elsa : 302 nb closed nodes = 120
Tim : 301 nb closed nodes = 120
Elsa : 300 nb closed nodes = 120
Tibi : 300 nb closed nodes = 120
Tim : 300 nb closed nodes = 120
Robin : 301 nb closed nodes = 120
Robin : 300 nb closed nodes = 120
Tim : 300 nb closed nodes = 120
Elsa : 302 nb closed nodes = 120
Tibi : 301 nb closed nodes = 120
Tim : 301 nb closed nodes = 120
Robin : 300 nb closed nodes = 120
Elsa : 300 nb closed nodes = 120
Tibi : 300 nb closed nodes = 120
Elsa : 300 nb closed nodes = 120
Tibi : 300 nb closed nodes = 120
Robin : 300 nb closed nodes = 120
Tim : 301 nb closed nodes = 120
Robin : 301 nb closed nodes = 120
Tim : 300 nb closed nodes = 120
Elsa : 301 nb closed nodes = 120
Tibi : 300 nb closed nodes = 120
Tim : 301 nb closed nodes = 120
Elsa : 300 nb closed nodes = 120
Tibi : 301 nb closed nodes = 120
Robin : 300 nb closed nodes = 120
Tim : 300 nb closed nodes = 120
Tibi : 301 nb closed nodes = 120
Elsa : 302 nb closed nodes = 120
Robin : 301 nb closed nodes = 120
Tim : 300 nb closed nodes = 120
Robin : 302 nb closed nodes = 120
Elsa : 301 nb closed nodes = 120
Tibi : 300 nb closed nodes = 120
Tim : 300 nb closed nodes = 120
Elsa : 303 nb closed nodes = 120
Tibi : 300 nb closed nodes = 120
Robin : 300 nb closed nodes = 120
Elsa : 300 nb closed nodes = 120
Tim : 302 nb closed nodes = 120
Tibi : 301 nb closed nodes = 120
Robin : 300 nb closed nodes = 120
Tibi : 300 nb closed nodes = 120
Elsa : 302 nb closed nodes = 120
Robin : 301 nb closed nodes = 120
Tim : 301 nb closed nodes = 120
Elsa : 300 nb closed nodes = 120
Tibi : 300 nb closed nodes = 120
Robin : 300 nb closed nodes = 120
Tim : 300 nb closed nodes = 120
Tim : 300 nb closed nodes = 120
Robin : 301 nb closed nodes = 120
Tibi : 301 nb closed nodes = 120
Elsa : 301 nb closed nodes = 120
Tim : 300 nb closed nodes = 120
Robin : 300 nb closed nodes = 120
Elsa : 300 nb closed nodes = 120
Tibi : 300 nb closed nodes = 120
Tibi : 300 nb closed nodes = 120
